"city"	"lon"	"lat"
"110"	"Moline, Illinois"	-90.5151342	41.5067003
"111"	"Morrisville, North Carolina"	-78.8255621	35.823483
"112"	"Mountain View, California"	-122.0838511	37.3860517
"113"	"Mt. Vernon, Iowa"	-91.4168371	41.9219522
"114"	"Nashua, New Hampshire"	-71.467566	42.7653662
"115"	"New Jersey"	-74.4056612	40.0583238
"116"	"New London, Connecticut"	-72.0995209	41.3556539
"117"	"New Orleans, Louisiana"	-90.0715323	29.9510658
"118"	"New York"	-74.0059413	40.7127837
"119"	"New York City"	-74.0059413	40.7127837
"120"	"New York City, New York"	-74.0059413	40.7127837
"121"	"New York, NY"	-74.0059413	40.7127837
"122"	"New York, New York"	-74.0059413	40.7127837
"123"	"Newark, New Jersey"	-74.1723667	40.735657
"124"	"Newport News, Virginia"	-76.4730122	37.0870821
"125"	"Norfolk, VA"	-76.2858726	36.8507689
"126"	"Norfolk, Virginia"	-76.2858726	36.8507689
"127"	"North Carolina"	-79.0192997	35.7595731
"128"	"Oakland, California"	-122.2711137	37.8043637
"129"	"Ohio"	-82.907123	40.4172871
"130"	"Oklahoma City, Oklahoma"	-97.5164276	35.4675602
"131"	"Omaha, Nebraska"	-95.9979883	41.2523634
"132"	"Orlando, FL"	-81.3792365	28.5383355
"133"	"Orlando, Florida"	-81.3792365	28.5383355
"134"	"Palm Springs, California"	-116.5452921	33.8302961
"135"	"Palácio do Itamaraty"	NA	NA
"136"	"Paris, France"	2.3522219	48.856614
"137"	"Pentagon"	-77.0561276	38.8718565
"138"	"Philadelphia, PA"	-75.163789	39.952335
"139"	"Philadelphia, Pennsylvania"	-75.163789	39.952335
"140"	"Phnom Penh, Cambodia"	104.8921668	11.5448729
"141"	"Phoenix, AZ"	-112.0740373	33.4483771
"142"	"Pittsburgh International Airport"	-80.256693	40.495999
"143"	"Pittsburgh, PA"	-79.9958864	40.4406248
"144"	"Pittsburgh, Pennsylvania"	-79.9958864	40.4406248
"145"	"Portland, Maine"	-70.2553259	43.661471
"146"	"Portland, Oregon"	-122.6762071	45.5234515
"147"	"Portsmouth, New Hampshire"	-70.7625532	43.0717552
"148"	"President’s Residence and sign guest book"	NA	NA
"149"	"Pueblo, Colorado"	-104.6091409	38.2544472
"150"	"Raleigh-Durham, North Carolina"	-78.6381787	35.7795897
"151"	"Rangoon, Burma"	96.15	16.8
"152"	"Reno, Nevada"	-119.8138027	39.5296329
"153"	"Richmond, Virginia"	-77.4360481	37.5407246
"154"	"Rio de Janeiro, Brazil"	-43.1970773	-22.9082998
"155"	"Roanoke, Virginia"	-79.9414266	37.2709704
"156"	"Roswell, New Mexico"	-104.5230242	33.3942655
"157"	"San Diego, CA"	-117.1610838	32.715738
"158"	"San Diego, California"	-117.1610838	32.715738
"159"	"San Francisco, CA"	-122.4194155	37.7749295
"160"	"San Francisco, California"	-122.4194155	37.7749295
"161"	"San Jose, Costa Rica"	-84.0907246	9.9280694
"162"	"San Juan, Puerto Rico"	-66.1057217	18.4663338
"163"	"San Salvador, El Salvador"	-89.2181911	13.6929403
"164"	"Santiago, Chile"	-70.641997	-33.4691199
"165"	"Scranton, PA"	-75.6624122	41.408969
"166"	"Seattle, Washington"	-122.3320708	47.6062095
"167"	"Shanksville, Pennsylvania"	-78.9072458	40.0178571
"168"	"St. Louis, MO"	-90.1994042	38.6270025
"169"	"St. Paul, Minnesota"	-93.0899578	44.9537029
"170"	"St. Petersburg, Florida"	-82.64	27.7730556
"171"	"Tampa, Florida"	-82.4571776	27.950575
"172"	"Tel Aviv, Israel"	34.7817676	32.0852999
"173"	"The White House"	-77.0365298	38.8976763
"174"	"Toledo, Ohio"	-83.555212	41.6639383
"175"	"Tucson, Arizona"	-110.926479	32.2217429
"176"	"University Park, Pennsylvania"	-77.8627778	40.7961111
"177"	"Villa La Cercle and is welcomed by President Sarkozy of France"	NA	NA
"178"	"Virginia"	-78.6568942	37.4315734
"179"	"Virginia Beach, VA"	-75.977985	36.8529263
"180"	"Walter Reed National Military Medical Center"	-77.0944268	39.0018413
"181"	"Warsaw, Poland"	21.0122287	52.2296756
"182"	"Washington, DC"	-77.0368707	38.9071923
"183"	"West Palm Beach, Florida"	-80.0533746	26.7153424
"184"	"Woodbridge, Virginia"	-77.2497049	38.6581722
"185"	"on the South Lawn"	-79.2615245	43.9710873
"186"	"the Convention Center and participates in the official arrival greet with President Calderón of Mexico"	NA	NA
"187"	"the Ellipse"	-89.9344967	35.1208057
"188"	"the Presidential Palace"	21.0166125	52.243168
"189"	"the White House"	-77.0365298	38.8976763
"190"	"the White HouseThe President and the Vice President meet with Secretary of Defense Panetta"	NA	NA
"191"	"the base of Castillo, San Felipe de Barajas"	NA	NA
"192"	"the residence of President Peres and signs the guest book"	NA	NA
"193"	"the residence of Prime Minister Netanyahu of Israel and signs the guest book"	NA	NA
"194"	"to Baltimore, Maryland"	-76.591299	39.2989621
"195"	"to Camp David"	NA	NA
"196"	"to Joint Base Andrews"	NA	NA
"197"	"to Joint base Andrews"	NA	NA
